Image_ID,Computer_Time,ROS_Time_Stamp,Chunk_Frame_ID,Chunk_Time,Latitude,Longitude,Direction,Camera_Long,Camera_Lat,Assigned_Row,FOV_Center_Long,FOV_Center_Lat,FOV_Left_Long,FOV_Left_Lat,FOV_Right_Long,FOV_Right_Lat,Covered_Vines
3135,2024-09-20-15-07-24-528,1726859245,3246,2130000000000.0,42.89388458,-77.01101135,B,-77.0110206678981,42.89388448030924,12,-77.0110252120646,42.89388441713369,-77.01102516152638,42.89388177529824,-77.0110252629118,42.89388707512153,12-36
3136,2024-09-20-15-07-25-052,1726859245,3247,2130000000000.0,42.89388759,-77.01101141,B,-77.01102071610191,42.89388794757116,12,-77.01102528586588,42.89388827502354,-77.01102523713583,42.89388572770792,-77.01102534005234,42.8938911075667,"12-35,12-36"
3137,2024-09-20-15-07-25-574,1726859246,3248,2130000000000.0,42.89389206,-77.01101109,B,-77.0110203997205,42.89389236283416,12,-77.0110253704979,42.89389269907845,-77.01102531740682,42.893889923794745,-77.01102542925649,42.89389577062557,"12-35,12-36"
3138,2024-09-20-15-07-26-095,1726859246,3249,2130000000000.0,42.89389503,-77.01101091,B,-77.01102022744465,42.89389490962802,12,-77.01102541117388,42.89389482537484,-77.01102535344234,42.89389180751569,-77.01102546909938,42.89389785337318,12-35
3139,2024-09-20-15-07-26-617,1726859247,3250,2130000000000.0,42.8938996,-77.01101102,B,-77.01102031208934,42.893900117446066,12,-77.01102552325781,42.89390068445165,-77.01102546841037,42.893897817355615,-77.0110255869694,42.89390401491154,12-35
3140,2024-09-20-15-07-27-140,1726859247,3251,2130000000000.0,42.89390413,-77.01101055,B,-77.01101986847824,42.89390419453498,12,-77.01102559181831,42.89390426838364,-77.01102552911252,42.89390099050009,-77.01102565691214,42.89390767109904,12-35
3141,2024-09-20-15-07-27-663,1726859248,3252,2130000000000.0,42.89390723,-77.01101051,B,-77.01101982847872,42.89390729453498,12,-77.01102565114572,42.89390736966527,-77.01102558735168,42.89390403489499,-77.01102571736922,42.89391083143382,12-35
3167,2024-09-20-15-07-41-242,1726859261,3278,2150000000000.0,42.89400993,-77.01101415,B,-77.0110234216935,42.89400924360903,12,-77.01102758950653,42.894008695560125,-77.01102753902421,42.89400605664682,-77.01102763379419,42.89401101065354,12-34
3168,2024-09-20-15-07-41-764,1726859262,3279,2150000000000.0,42.89401428,-77.01101475,B,-77.01102406730881,42.89401415339706,12,-77.0110276921593,42.89401406163295,-77.01102765156683,42.89401193970131,-77.01102773246014,42.894016168318636,12-34
3169,2024-09-20-15-07-42-288,1726859262,3280,2150000000000.0,42.89401744,-77.01101483,B,-77.01102414714171,42.89401730694296,12,-77.01102775249944,42.89401721585365,-77.0110277121265,42.894015105398196,-77.01102779258466,42.894019311268444,12-34
3170,2024-09-20-15-07-42-808,1726859263,3281,2150000000000.0,42.89402195,-77.01101495,B,-77.01102426747643,42.89402206984741,12,-77.01102784704156,42.89402215794949,-77.01102780805887,42.89402012016828,-77.01102788806618,42.89402430247092,12-34
3171,2024-09-20-15-07-43-332,1726859263,3282,2150000000000.0,42.89402654,-77.01101484,B,-77.01102415866956,42.89402649064265,12,-77.01102792978325,42.89402648318994,-77.01102788812982,42.89402430579724,-77.01102797227847,42.894028704585324,12-34
3172,2024-09-20-15-07-43-854,1726859264,3283,2150000000000.0,42.89402958,-77.01101487,B,-77.01102416572614,42.89403006131398,12,-77.01102800681069,42.89403050972277,-77.01102796648014,42.89402840148305,-77.01102805409948,42.89403298169778,"12-33,12-34"
3173,2024-09-20-15-07-44-377,1726859264,3284,2150000000000.0,42.89403383,-77.01101446,B,-77.01102376664822,42.89403347982862,12,-77.01102805787897,42.89403317926694,-77.0110280083663,42.89403059104068,-77.01102810454005,42.894035618427885,12-33
3174,2024-09-20-15-07-44-899,1726859265,3285,2150000000000.0,42.89403868,-77.0110148,B,-77.01102411021351,42.89403838503792,12,-77.01102815295768,42.89403814941176,-77.01102810669782,42.894035731223894,-77.01102819715436,42.89404045974969,12-33
3175,2024-09-20-15-07-45-420,1726859265,3286,2150000000000.0,42.89404156,-77.01101497,B,-77.011024269766,42.89404112255176,12,-77.01102820397502,42.89404081629319,-77.01102815832274,42.894038429865496,-77.01102824660873,42.89404304492869,12-33
