Row,ID,Longitude,Latitude
11,10,-77.01107496,42.89441112
11,11,-77.01107469,42.89439846
11,12,-77.01107432,42.8943813
11,13,-77.01107395,42.89436377
11,14,-77.01107359,42.89434704
11,16,-77.01107286,42.89431299
11,17,-77.01107254,42.89429797
11,18,-77.01107221,42.89428256
11,19,-77.01107186,42.89426606
11,21,-77.01107115,42.89423291
11,22,-77.01107082,42.89421738
11,23,-77.01107045,42.89419971
11,24,-77.01107013,42.89418493
11,25,-77.01106979,42.89416921
11,26,-77.01106943,42.89415211
11,27,-77.01106908,42.89413579
11,28,-77.01106871,42.89411859
11,29,-77.01106836,42.89410205
11,30,-77.01106801,42.89408582
11,31,-77.01106769,42.8940705
11,32,-77.01106731,42.89405258
11,33,-77.01106693,42.89403507
11,34,-77.01106663,42.89402081
11,35,-77.01106406,42.89390055
11,36,-77.01106366,42.89388206
11,37,-77.01106332,42.89386606
11,38,-77.011063,42.89385113
11,39,-77.01106264,42.89383383
11,40,-77.01106229,42.89381752
11,42,-77.01106155,42.89378312
11,43,-77.01106124,42.8937684
11,45,-77.01106053,42.89373506
11,46,-77.01106018,42.89371859
11,47,-77.01105985,42.89370326
11,48,-77.01105949,42.89368658
11,49,-77.01105914,42.89367034
11,50,-77.01105881,42.89365451
11,51,-77.01105844,42.89363722
11,52,-77.01105809,42.89362073
11,53,-77.01105772,42.89360362
11,54,-77.01105741,42.89358891
11,56,-77.01105669,42.89355518
11,57,-77.01105635,42.8935396
11,58,-77.01105599,42.8935227
11,59,-77.01105565,42.89350671
11,60,-77.01105534,42.89349217
11,61,-77.01105496,42.8934744
11,64,-77.01105395,42.89342683
11,65,-77.0110536,42.89341047
11,66,-77.01105321,42.89339231
11,70,-77.01105183,42.89332752
11,71,-77.01105139,42.89330687
11,72,-77.01105111,42.89329415
11,73,-77.01105079,42.89327897
11,74,-77.01105045,42.89326298
11,75,-77.01105002,42.89324301
11,76,-77.0110497,42.89322799
11,80,-77.01104831,42.8931627
12,1,-77.01103816,42.89456122
12,2,-77.01103786,42.89454549
12,3,-77.01103752,42.89452801
12,5,-77.01103688,42.89449433
12,6,-77.01103656,42.89447769
12,7,-77.0110363,42.89446396
12,8,-77.01103595,42.89444598
12,9,-77.01103566,42.89443039
12,10,-77.01103537,42.89441521
12,11,-77.01103504,42.89439802
12,12,-77.01103471,42.89438099
12,14,-77.01103409,42.89434876
12,15,-77.01103375,42.89433055
12,16,-77.01103349,42.89431704
12,17,-77.01103316,42.89429972
12,19,-77.01103254,42.89426756
12,20,-77.01103223,42.89425112
12,21,-77.0110319,42.89423404
12,22,-77.0110316,42.89421851
12,23,-77.01103127,42.89420125
12,24,-77.01103099,42.89418635
12,25,-77.01103066,42.89416916
